detail_page,title,rating,reviews,price,seller_name,images,video_link,designed_by,link,total_sales
https://www.etsy.com/listing/1731083325/lobster-placement-phone-case-bold-ocean?click_key=46392785d33235006e3bb062490f80f51a7d81dd%3A1731083325&click_sum=93e22c08&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73901-7-1&pro=1&sts=1,Lobster Placement Phone Case | Bold Ocean | Cover for iPhone 15 14 13 12 11 SE Max Pro - Samsung Galaxy S24 - Google Pixel 8 | Green Pink,4.8408,"9,355 shop reviews",USD 24.60+, harperandblake,"https://i.etsystatic.com/10264674/r/il/3099e7/6037067733/il_794xN.6037067733_ovmr.jpg,https://i.etsystatic.com/10264674/r/il/bdfa48/5526458252/il_794xN.5526458252_5z1x.jpg,https://i.etsystatic.com/10264674/r/il/919362/5574572631/il_794xN.5574572631_6npj.jpg,https://i.etsystatic.com/10264674/r/il/f75cef/5526458670/il_794xN.5526458670_a5mc.jpg,https://i.etsystatic.com/10264674/r/il/fb733f/5526458546/il_794xN.5526458546_c8z3.jpg,https://i.etsystatic.com/10264674/r/il/8d5a26/4832718175/il_794xN.4832718175_be75.jpg",, harperandblake,https://www.etsy.com/shop/harperandblake,"56,256 Sales"
https://www.etsy.com/listing/1607775109/personalized-iphone-case-for-iphone-15?click_key=33b253d0fa424567bbc9a57a3d7be1ee88f2981c%3A1607775109&click_sum=5c9b3040&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73901-7-2&pro=1&bes=1&ret=1,Personalized iPhone Case for iPhone 15 Pro Max 14 13 Pro Initials Monogram Flashy Phone case Gift idea for her Custom Luxury Phone Case,4.6876,"7,264 reviews",USD 36.34, SNAPBANDSHOP,"https://i.etsystatic.com/22279508/c/2048/1619/0/428/il/1a7080/5538462499/il_794xN.5538462499_b80g.jpg,https://i.etsystatic.com/22279508/r/il/3cbcb2/5851008101/il_794xN.5851008101_imu7.jpg,https://i.etsystatic.com/22279508/r/il/f74006/5802925616/il_794xN.5802925616_a7z2.jpg,https://i.etsystatic.com/22279508/r/il/9a6f0a/5802925608/il_794xN.5802925608_jnpt.jpg,https://i.etsystatic.com/22279508/r/il/5ce20a/5851008007/il_794xN.5851008007_5lhs.jpg,https://i.etsystatic.com/22279508/r/il/3690ee/5802928314/il_794xN.5802928314_pmip.jpg,https://i.etsystatic.com/22279508/r/il/44b5c3/5851010773/il_794xN.5851010773_nbic.jpg,https://i.etsystatic.com/22279508/r/il/eefa2f/5851010799/il_794xN.5851010799_aath.jpg,https://i.etsystatic.com/22279508/r/il/e76a29/5802928296/il_794xN.5802928296_83sa.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/new_case_snap_nwkn40.mp4", SNAPBANDSHOP,https://www.etsy.com/shop/SNAPBANDSHOP,"28,880 Sales"
https://www.etsy.com/listing/1768547510/stained-glass-sea-turtle-phone-case-cute?click_key=c1fd9a2a37b7571b4bf2a67d1727ddc8849eebfe%3A1768547510&click_sum=91f035e8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73901-7-3&pro=1&pop=1,"Stained Glass Sea Turtle Phone Case, Cute Faux Glass Mosaic Ocean Design Phone Cover, iPhone 15, Pixel 8, Samsung S24, Ocean Lover Gift",4.9167,72 shop reviews,USD 21.74, DelightfulCasesCo,"https://i.etsystatic.com/53392328/c/1887/1887/522/137/il/532810/6217231524/il_794xN.6217231524_inxv.jpg,https://i.etsystatic.com/53392328/r/il/e8e2b3/6217194118/il_794xN.6217194118_agp4.jpg,https://i.etsystatic.com/53392328/r/il/93de24/6265231191/il_794xN.6265231191_mz2b.jpg,https://i.etsystatic.com/53392328/r/il/7b1fa9/6265231147/il_794xN.6265231147_iuqc.jpg,https://i.etsystatic.com/53392328/r/il/040d67/6265231045/il_794xN.6265231045_eyg5.jpg,https://i.etsystatic.com/53392328/r/il/c38eb7/6265231043/il_794xN.6265231043_68bq.jpg,https://i.etsystatic.com/53392328/r/il/2df221/6265231047/il_794xN.6265231047_1tvg.jpg,https://i.etsystatic.com/53392328/r/il/8f14b8/6265231041/il_794xN.6265231041_53wv.jpg,https://i.etsystatic.com/53392328/r/il/55b92b/6217194016/il_794xN.6217194016_7bdg.jpg,https://i.etsystatic.com/53392328/r/il/13e1d1/6265231119/il_794xN.6265231119_6v3b.jpg",, DelightfulCasesCo,https://www.etsy.com/shop/DelightfulCasesCo,451 Sales
https://www.etsy.com/listing/1790500807/colorful-cute-phone-cases-iphone-10-11?click_key=366896202825a753367848a244e2396fa0cbb9d4%3A1790500807&click_sum=cdadaf56&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73901-7-4&pro=1,"Colorful cute Phone Cases, iPhone 10 11 12 13 14 15 cases, iPhone cover, gift for iPhone lover, gift for dad and mom, cell phone case",0,0 shop reviews,USD 14.99, CPMASTERDESIGN,"https://i.etsystatic.com/54045273/r/il/d044b3/6303595235/il_794xN.6303595235_cgwk.jpg,https://i.etsystatic.com/54045273/r/il/7f48c7/6255548484/il_794xN.6255548484_h3ye.jpg,https://i.etsystatic.com/54045273/r/il/1cd5b9/6303599379/il_794xN.6303599379_svkb.jpg,https://i.etsystatic.com/54045273/r/il/6079f0/6255551720/il_794xN.6255551720_d4ia.jpg,https://i.etsystatic.com/54045273/r/il/caa0a6/6303601599/il_794xN.6303601599_nofn.jpg,https://i.etsystatic.com/54045273/r/il/b713a1/6255553884/il_794xN.6255553884_n05m.jpg,https://i.etsystatic.com/54045273/r/il/6c6031/6303603765/il_794xN.6303603765_9ubu.jpg,https://i.etsystatic.com/54045273/r/il/7e97ff/6255556660/il_794xN.6255556660_4496.jpg,https://i.etsystatic.com/54045273/r/il/278576/6303606863/il_794xN.6303606863_boex.jpg",, CPMASTERDESIGN,https://www.etsy.com/shop/CPMASTERDESIGN,0 Sales
https://www.etsy.com/listing/1741335081/junk-case-chrome-hearts-edition?click_key=fd8b506de4a82e5fa2181f28a506578bb7c6c830%3A1741335081&click_sum=cd8ff285&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-1&pop=1&sts=1&content_source=aef6ba600abc91b8c2ccaa39e56decdcccab3508%253A1741335081,Junk Case Chrome Hearts Edition,4.8033,122 reviews,USD 20.00+, JVNKEDBYBAEE,"https://i.etsystatic.com/51654308/r/il/0b821a/6035875276/il_794xN.6035875276_f81t.jpg,https://i.etsystatic.com/51654308/r/il/196a6d/6129917659/il_794xN.6129917659_4h4d.jpg,https://i.etsystatic.com/51654308/r/il/6cf3e4/6088409791/il_794xN.6088409791_re0w.jpg,https://i.etsystatic.com/51654308/r/il/3a6790/6033310722/il_794xN.6033310722_iowl.jpg,https://i.etsystatic.com/51654308/r/il/128158/6033297190/il_794xN.6033297190_2s8w.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/file_lbhoep.mp4", JVNKEDBYBAEE,https://www.etsy.com/shop/JVNKEDBYBAEE,499 Sales
https://www.etsy.com/listing/1573334118/transparent-black-snakes-tattoo-style?click_key=c5cecd6b91dfec771975d81f0c1a461b60d27a21%3A1573334118&click_sum=f09f479d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-2&pro=1&frs=1&bes=1&content_source=91c9b33defdc4273e53e57b0f75c0046c8df9840%253A1573334118,Transparent Black Snakes Tattoo Style Print Shockproof Case for iPhone 11 12 13 14 15 Pro Max Mini Plus 6 7 8 XR X Xs Max Plus,4.5389,168 reviews,USD 17.26, CaseExperts,"https://i.etsystatic.com/44474747/r/il/89f96b/5395623648/il_794xN.5395623648_5g8n.jpg,https://i.etsystatic.com/44474747/r/il/a850bb/5443775861/il_794xN.5443775861_bnj4.jpg,https://i.etsystatic.com/44474747/r/il/c39226/5443775883/il_794xN.5443775883_ckkn.jpg,https://i.etsystatic.com/44474747/r/il/e60e6d/5395539580/il_794xN.5395539580_kf3t.jpg,https://i.etsystatic.com/44474747/r/il/0ca21f/5395537726/il_794xN.5395537726_32ra.jpg,https://i.etsystatic.com/44474747/r/il/e32d41/5395542564/il_794xN.5395542564_amku.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/IMG_3976_oewsnl.mp4", CaseExperts,https://www.etsy.com/shop/CaseExperts,982 Sales
https://www.etsy.com/listing/1017532593/planet-phone-case-moon-star-cover-fit?click_key=2d2ed785270897cafea12a71b60fd36c8aceac3a%3A1017532593&click_sum=28a76065&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-3&pro=1&content_source=8b440a6929526d86d617e8b0fd4da7db97270718%253A1017532593,"Planet Phone Case Moon Star Cover fit for iPhone 15 Pro Max, 14 Plus, 13, 12, 11, XR & Samsung S24, S23, A54, A53, Pixel 8 Pro, 7",4.7221,"10,049 reviews",USD 16.43, FrostyCovers,"https://i.etsystatic.com/23893836/r/il/f7ee88/3075706992/il_794xN.3075706992_ogvy.jpg,https://i.etsystatic.com/23893836/r/il/c2ebf4/3075706936/il_794xN.3075706936_tq03.jpg,https://i.etsystatic.com/23893836/r/il/4b1cd7/3075707004/il_794xN.3075707004_7bom.jpg,https://i.etsystatic.com/23893836/r/il/6393a3/3075707006/il_794xN.3075707006_kmul.jpg,https://i.etsystatic.com/23893836/r/il/573d84/3075707068/il_794xN.3075707068_tejg.jpg,https://i.etsystatic.com/23893836/r/il/6e9d3d/3123442495/il_794xN.3123442495_dxkm.jpg,https://i.etsystatic.com/23893836/r/il/a05536/3075707094/il_794xN.3075707094_j692.jpg,https://i.etsystatic.com/23893836/r/il/027298/3123442331/il_794xN.3123442331_bnpt.jpg",, FrostyCovers,https://www.etsy.com/shop/FrostyCovers,"52,342 Sales"
https://www.etsy.com/listing/1561104204/personalised-leather-iphone-case-iphone?click_key=37fe7a958b1062514eb49ab53c459ec8bf02d735%3A1561104204&click_sum=e0f4a6ab&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-4&pro=1&pop=1&content_source=42ef20de4593666bb181f1753c7b51bd7cd41995%253A1561104204,"Personalised Leather iPhone Case, iPhone 15 Pro Max, 15 Pro, 15, 15 plus, 14, 14 Pro, 14 Plus, 14 Pro Max, 13 Custom Initials Phone Case",4.5798,"2,933 reviews",USD 15.73+, MyPersonalisedItem,"https://i.etsystatic.com/30578817/r/il/ee1c65/5381958583/il_794xN.5381958583_205j.jpg,https://i.etsystatic.com/30578817/r/il/ca67ae/5402511275/il_794xN.5402511275_jmpq.jpg,https://i.etsystatic.com/30578817/r/il/00f0e0/5354335186/il_794xN.5354335186_fds1.jpg,https://i.etsystatic.com/30578817/r/il/819676/5354335230/il_794xN.5354335230_ei1t.jpg,https://i.etsystatic.com/30578817/r/il/03212c/5333793650/il_794xN.5333793650_9pcl.jpg,https://i.etsystatic.com/30578817/r/il/adda42/5333791056/il_794xN.5333791056_h8cp.jpg,https://i.etsystatic.com/30578817/r/il/19ad7d/5381962333/il_794xN.5381962333_e81v.jpg,https://i.etsystatic.com/30578817/r/il/147945/5381962681/il_794xN.5381962681_j78o.jpg,https://i.etsystatic.com/30578817/r/il/54f8e3/5381965237/il_794xN.5381965237_hbk3.jpg,https://i.etsystatic.com/30578817/r/il/08ab80/5617498773/il_794xN.5617498773_lkgc.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/file_zaqehh.mp4", MyPersonalisedItem,https://www.etsy.com/shop/MyPersonalisedItem,"18,821 Sales"
https://www.etsy.com/listing/1621114965/custom-hello-kitty-phone-case?click_key=b08bcc9c17f6efda82a464b661f0777d45b4fdc6%3A1621114965&click_sum=cd061acb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-5&pro=1&content_source=a58f31efa045dfe98186d9b191511d1dd7e14305%253A1621114965,"Custom Hello Kitty Phone case // personalised charm phone case for all phone types, y2k design, sanrio charms,  junk design",4.825,46 reviews,USD 32.88, BOSSBABESNAILSUK,"https://i.etsystatic.com/35645049/r/il/b67c4a/5546456076/il_794xN.5546456076_n1cf.jpg,https://i.etsystatic.com/35645049/r/il/65901c/5546456942/il_794xN.5546456942_q8sl.jpg,https://i.etsystatic.com/35645049/r/il/9d30a1/5751313226/il_794xN.5751313226_7mul.jpg,https://i.etsystatic.com/35645049/r/il/fffad9/5751313370/il_794xN.5751313370_6tv0.jpg,https://i.etsystatic.com/35645049/r/il/c18f0b/5751313700/il_794xN.5751313700_a2ck.jpg,https://i.etsystatic.com/35645049/r/il/d8ccc2/5799393985/il_794xN.5799393985_1rdm.jpg,https://i.etsystatic.com/35645049/r/il/68e994/5751313966/il_794xN.5751313966_9glz.jpg,https://i.etsystatic.com/35645049/r/il/0652f3/5799394295/il_794xN.5799394295_cdme.jpg,https://i.etsystatic.com/35645049/r/il/bccc36/5799394453/il_794xN.5799394453_n4g5.jpg,https://i.etsystatic.com/35645049/r/il/1e8932/6080168685/il_794xN.6080168685_e0sy.jpg",, BOSSBABESNAILSUK,https://www.etsy.com/shop/BOSSBABESNAILSUK,325 Sales
https://www.etsy.com/listing/1762839586/pressed-lemon-flower-phone-case-dried?click_key=a515db8133e577853afcb5d4c24e7405ec7fea8f%3A1762839586&click_sum=269f2ef2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-73902-7-6&pro=1&bes=1&sts=1&content_source=da40e166d52f85ea482758830df69610d8645db8%253A1762839586,"Pressed Lemon Flower Phone Case, Dried fruit iPhone 16 15 14 13 12 11 Pro Max X 8 SE case, Samsung S23 S24 case, Google Pixel 7 8 9 Pro case",4.8847,"9,725 shop reviews",USD 18.19+, ABLOOOMDesign,"https://i.etsystatic.com/25926642/c/1473/1170/0/194/il/624227/6193916586/il_794xN.6193916586_btkl.jpg,https://i.etsystatic.com/25926642/r/il/38df73/6191383796/il_794xN.6191383796_qu5s.jpg,https://i.etsystatic.com/25926642/r/il/8ffaff/6191383808/il_794xN.6191383808_qqqu.jpg,https://i.etsystatic.com/25926642/r/il/a48012/6239410691/il_794xN.6239410691_s3wm.jpg,https://i.etsystatic.com/25926642/r/il/da7ba0/6239410705/il_794xN.6239410705_cdio.jpg,https://i.etsystatic.com/25926642/r/il/31e8d2/6239410857/il_794xN.6239410857_efmz.jpg,https://i.etsystatic.com/25926642/r/il/50ebaf/6239410839/il_794xN.6239410839_mtdd.jpg,https://i.etsystatic.com/25926642/r/il/d0a5a8/6239560151/il_794xN.6239560151_l17h.jpg,https://i.etsystatic.com/25926642/r/il/fa9e08/6239410811/il_794xN.6239410811_qigu.jpg,https://i.etsystatic.com/25926642/r/il/8979b7/6239410701/il_794xN.6239410701_rji9.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/Untitled_2700_x_2025_px_-5_moymun.mp4", ABLOOOMDesign,https://www.etsy.com/shop/ABLOOOMDesign,"37,985 Sales"
