detail_page,title,rating,reviews,price,seller_name,images,video_link,designed_by,link,total_sales
https://www.etsy.com/listing/1775401627/celestial-shell-stone-mosaic-decoden?click_key=ef82ba22e0129740c679997a50f9c73892ea16e3%3A1775401627&click_sum=3a103da6&ref=search2_top_narrowing_intent_modules_etsys_pick-1,Celestial Shell Stone Mosaic Decoden Phone Case (International),4.8319,137 shop reviews,USD 120.00+, Mosaicly,"https://i.etsystatic.com/41738182/c/2000/1588/0/534/il/e9286d/6166063484/il_794xN.6166063484_pgw2.jpg,https://i.etsystatic.com/41738182/r/il/2af3bf/6166063740/il_794xN.6166063740_ogql.jpg,https://i.etsystatic.com/41738182/r/il/7fafe0/6183811174/il_794xN.6183811174_st4w.jpg,https://i.etsystatic.com/41738182/r/il/1dbc15/6166064256/il_794xN.6166064256_6igp.jpg,https://i.etsystatic.com/41738182/r/il/8967d1/6214126173/il_794xN.6214126173_m1ok.jpg",, Mosaicly,https://www.etsy.com/shop/Mosaicly,723 Sales
https://www.etsy.com/listing/1597374285/pink-sakura-with-silver-foil-pressed?click_key=aa1f532bac46b7cdb3e338872596f58091e46394%3A1597374285&click_sum=a5ed231d&ref=search2_top_narrowing_intent_modules_etsys_pick-2&pro=1&frs=1&sts=1,"Pink sakura with silver foil pressed flower phone case for iPhone 16 Pro Max iPhone 15 Pro Max 14,Google Pixel 8A 8 Pro 7 Pro 6 Pro case",4.8063,"2,731 reviews",USD 11.02+, FeiMeiPresents,"https://i.etsystatic.com/19225692/c/2419/1923/248/661/il/5c6246/5443595148/il_794xN.5443595148_4d3z.jpg,https://i.etsystatic.com/19225692/r/il/60924d/6272438146/il_794xN.6272438146_a3wf.jpg,https://i.etsystatic.com/19225692/r/il/f74da4/5443586244/il_794xN.5443586244_7ppl.jpg,https://i.etsystatic.com/19225692/r/il/d2b865/5491719811/il_794xN.5491719811_fx9m.jpg,https://i.etsystatic.com/19225692/r/il/1a0cb2/4891222058/il_794xN.4891222058_b8np.jpg,https://i.etsystatic.com/19225692/r/il/a3b49c/5443586326/il_794xN.5443586326_1zo8.jpg,https://i.etsystatic.com/19225692/r/il/2cd996/5491719957/il_794xN.5491719957_c4ah.jpg,https://i.etsystatic.com/19225692/r/il/345887/5443586310/il_794xN.5443586310_gp41.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/IMG_7014_qxipli.mp4", FeiMeiPresents,https://www.etsy.com/shop/FeiMeiPresents,"14,591 Sales"
https://www.etsy.com/listing/1449000224/light-natural-tones-handmade-shell?click_key=a26e8bd68c2deff523268532b95a204a4b8a5ede%3A1449000224&click_sum=3df8a8ba&ref=search2_top_narrowing_intent_modules_etsys_pick-3,Light natural tones: Handmade shell mobile phone case / Seashell mobile phone case / Cover case mobile phone / Ocean unique / iPhone mobile phone case,4.5714,95 reviews,USD 69.26, oceanandsandstudio,"https://i.etsystatic.com/42853931/r/il/1a9b32/4825288570/il_794xN.4825288570_irhh.jpg,https://i.etsystatic.com/42853931/r/il/b139f0/4873559929/il_794xN.4873559929_61bo.jpg,https://i.etsystatic.com/42853931/r/il/e914e5/4873559927/il_794xN.4873559927_axge.jpg,https://i.etsystatic.com/42853931/r/il/e0983f/4825290814/il_794xN.4825290814_sk8u.jpg,https://i.etsystatic.com/42853931/r/il/7c5404/4873568043/il_794xN.4873568043_agiw.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/Muschel_Handyh%C3%BClle_Seashell_iPhone_H%C3%BClle_Handgemachte_Handyh%C3%BClle_Iphone_Cover_Case_Handy_xf2bh7.mp4", oceanandsandstudio,https://www.etsy.com/shop/oceanandsandstudio,438 Sales
https://www.etsy.com/listing/755541197/handmade-pressed-flower-phone-case-dried?click_key=1f850d8098585a1b5eb10e955691dc6d3adde245%3A755541197&click_sum=62399383&ref=search2_top_narrowing_intent_modules_etsys_pick-4&pro=1&sts=1,"Handmade pressed flower phone case, dried fruit iphone 16 pro max 15 14 13 12 11 xr xs x 8 plus case, samsung galaxy s24 s23 s22 s21 fe case",4.9421,"7,091 reviews",USD 18.99+, SunnyPigStudio,"https://i.etsystatic.com/13948797/r/il/4d2143/5620769261/il_794xN.5620769261_gmw9.jpg,https://i.etsystatic.com/13948797/r/il/1ebc03/5533509182/il_794xN.5533509182_amuh.jpg,https://i.etsystatic.com/13948797/r/il/ed06b3/5533517956/il_794xN.5533517956_q84a.jpg,https://i.etsystatic.com/13948797/r/il/67c65f/5360448126/il_794xN.5360448126_nhjl.jpg",, SunnyPigStudio,https://www.etsy.com/shop/SunnyPigStudio,"28,627 Sales"
https://www.etsy.com/listing/1272136473/gorgeous-colorful-baroque-decoden-phone?click_key=68b6b61dc97cfa76f3512565859560ba5c4ddcf4%3A1272136473&click_sum=30131789&ref=search2_top_narrowing_intent_modules_etsys_pick-5&pro=1&frs=1&sts=1,"Gorgeous Colorful Baroque Decoden Phone Case, Glitter and Angel Decoden Case, Handmade Fake Cream Phone Case for Samsung, Apple, Android",4.8653,985 reviews,USD 33.83+, CreamieCase,"https://i.etsystatic.com/33433223/r/il/8cf023/4026161478/il_794xN.4026161478_22ny.jpg,https://i.etsystatic.com/33433223/r/il/8330dd/4026161630/il_794xN.4026161630_md3l.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/IMG_3307_c8sfgl.mp4", CreamieCase,https://www.etsy.com/shop/CreamieCase,"2,904 Sales"
https://www.etsy.com/listing/262344372/cookies-phone-case-decoden-phone-case?click_key=4b125de4c5aa17411f2fa4a85077285817abef51%3A262344372&click_sum=919af53e&ref=search2_top_narrowing_intent_modules_etsys_pick-6&frs=1,"COOKIES phone CASE, DECODEN phone case, Custom phone case, 3D chocolate phone case, deco case, custom phone case, deco phone case",4.6364,133 reviews,USD 60.13+, TheQueensPassion,"https://i.etsystatic.com/10436003/r/il/7623c3/1754030160/il_794xN.1754030160_thbp.jpg,https://i.etsystatic.com/10436003/r/il/3f4eaf/2175724071/il_794xN.2175724071_qz7m.jpg,https://i.etsystatic.com/10436003/r/il/0d6cd1/1921903087/il_794xN.1921903087_ppfa.jpg,https://i.etsystatic.com/10436003/r/il/2a51e0/1504338576/il_794xN.1504338576_bw7k.jpg,https://i.etsystatic.com/10436003/r/il/daa974/1760573447/il_794xN.1760573447_313o.jpg,https://i.etsystatic.com/10436003/r/il/ac20dd/1550222685/il_794xN.1550222685_cq28.jpg,https://i.etsystatic.com/10436003/r/il/ca6a08/1502755058/il_794xN.1502755058_f279.jpg,https://i.etsystatic.com/10436003/r/il/01eb72/1314776550/il_794xN.1314776550_uo8n.jpg,https://i.etsystatic.com/10436003/r/il/d0d321/995670216/il_794xN.995670216_sj55.jpg,https://i.etsystatic.com/10436003/r/il/0ca6f3/4982791486/il_794xN.4982791486_3bql.jpg",, TheQueensPassion,https://www.etsy.com/shop/TheQueensPassion,684 Sales
https://www.etsy.com/listing/1521240440/hide-and-go-spook-clay-look-ghosts-in?click_key=8c0d282c1655d703c07e81d29a84b0b880e5722a%3A1521240440&click_sum=7fb94915&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-954095-1-1&pro=1&pop=1&sts=1,Hide and Go Spook Clay Look Ghosts in Flowers Phone Case | Cute and Spooky Ghost Floral Phone Case | iPhone | Pixel | Samsung,4.9091,"2,656 reviews",USD 22.00+, AnnieDelavan,"https://i.etsystatic.com/42224102/r/il/50d459/6240356805/il_794xN.6240356805_9sqv.jpg,https://i.etsystatic.com/42224102/r/il/798705/6240357009/il_794xN.6240357009_64ym.jpg,https://i.etsystatic.com/42224102/r/il/3adcaf/6192333764/il_794xN.6192333764_sq6k.jpg,https://i.etsystatic.com/42224102/r/il/95e663/6240359467/il_794xN.6240359467_cm6z.jpg,https://i.etsystatic.com/42224102/r/il/e5c969/6192336216/il_794xN.6192336216_hfq1.jpg,https://i.etsystatic.com/42224102/r/il/8abbb1/6240360081/il_794xN.6240360081_zjib.jpg,https://i.etsystatic.com/42224102/r/il/e6342c/6192336816/il_794xN.6192336816_11k0.jpg,https://i.etsystatic.com/42224102/r/il/858d4e/6192337012/il_794xN.6192337012_dg0b.jpg,https://i.etsystatic.com/42224102/r/il/e8e4d9/6240361129/il_794xN.6240361129_g09v.jpg,https://i.etsystatic.com/42224102/r/il/dc9b4f/6192337778/il_794xN.6192337778_k30y.jpg",, AnnieDelavan,https://www.etsy.com/shop/AnnieDelavan,"7,882 Sales"
https://www.etsy.com/listing/1582231083/custom-pet-phone-case-using-pet-photo?click_key=f3c350bdeee57306180f2e7bc85a7c1acbb0b3bf%3A1582231083&click_sum=53a54cea&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-954095-1-2&pro=1&bes=1&sts=1&ret=1,Custom Pet Phone Case Using Pet Photo + Name Custom Dog Phone Case Custom Cat Phone Case Personalized Phone Case Cat iPhone Case,4.8549,"42,143 reviews",USD 30.34+, ModPawsUS,"https://i.etsystatic.com/25168585/r/il/51c82a/5368046134/il_794xN.5368046134_p14f.jpg,https://i.etsystatic.com/25168585/r/il/ae1559/5416213177/il_794xN.5416213177_iuso.jpg,https://i.etsystatic.com/25168585/r/il/ab1aac/5416213545/il_794xN.5416213545_iftu.jpg,https://i.etsystatic.com/25168585/r/il/ddbafa/5368046130/il_794xN.5368046130_mf1c.jpg,https://i.etsystatic.com/25168585/r/il/5eda42/5416213203/il_794xN.5416213203_bp4m.jpg,https://i.etsystatic.com/25168585/r/il/66cd3a/5416213147/il_794xN.5416213147_tdr7.jpg,https://i.etsystatic.com/25168585/r/il/2dadc3/5368046094/il_794xN.5368046094_j5wo.jpg,https://i.etsystatic.com/25168585/r/il/aee8d9/5416213179/il_794xN.5416213179_lq5o.jpg,https://i.etsystatic.com/25168585/r/il/ada872/5416213151/il_794xN.5416213151_pc49.jpg,https://i.etsystatic.com/25168585/r/il/c70ab4/5368046100/il_794xN.5368046100_kv8w.jpg",, ModPawsUS,https://www.etsy.com/shop/ModPawsUS,"173,982 Sales"
https://www.etsy.com/listing/1700191511/magsafe-floral-iphone-case-wildflower?click_key=4176ae0731c584b6065dcf0c5a2d94b4fc078ab4%3A1700191511&click_sum=ca3191e5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-954095-1-3,MagSafe Floral iPhone Case - Wildflower Floral Toile De Jouy Collection,4.6386,210 reviews,USD 24.99, Floweverblooms,"https://i.etsystatic.com/33869828/c/1861/1478/56/348/il/475be9/6237275719/il_794xN.6237275719_4f35.jpg,https://i.etsystatic.com/33869828/r/il/d628a4/5858836160/il_794xN.5858836160_hm8v.jpg,https://i.etsystatic.com/33869828/r/il/ffaaf0/5906932515/il_794xN.5906932515_b3sh.jpg,https://i.etsystatic.com/33869828/r/il/693622/5906930359/il_794xN.5906930359_l5xg.jpg,https://i.etsystatic.com/33869828/r/il/1603b1/5906930837/il_794xN.5906930837_j0fe.jpg,https://i.etsystatic.com/33869828/r/il/e85f72/5906931693/il_794xN.5906931693_pc2a.jpg,https://i.etsystatic.com/33869828/r/il/86eb34/5908974017/il_794xN.5908974017_4qlo.jpg,https://i.etsystatic.com/33869828/r/il/419340/5918774270/il_794xN.5918774270_qe6h.jpg,https://i.etsystatic.com/33869828/r/il/fde26f/6128630747/il_794xN.6128630747_5xrf.jpg,https://i.etsystatic.com/33869828/r/il/da46d2/6121759154/il_794xN.6121759154_lzjj.jpg",, Floweverblooms,https://www.etsy.com/shop/Floweverblooms,"1,036 Sales"
https://www.etsy.com/listing/1723228744/aesthetic-western-cowgirl-phone-case?click_key=17bbdbed31cf3c64687a48ff780f0c1240233154%3A1723228744&click_sum=7565afec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-954095-1-4&pro=1,"Aesthetic Western Cowgirl Phone Case, Cute Floral Girly Phone Case Cover for iPhone 13 14 15 Pro Max, Vintage Flowers S24 Case, Cowgirl Gift",4.6667,14 reviews,USD 17.49, ScarletSkiesDesignCo,"https://i.etsystatic.com/30376145/r/il/686e36/6136781761/il_794xN.6136781761_ere3.jpg,https://i.etsystatic.com/30376145/r/il/5d3ae6/6132020595/il_794xN.6132020595_6oek.jpg,https://i.etsystatic.com/30376145/r/il/a08906/6083952880/il_794xN.6083952880_9lrn.jpg,https://i.etsystatic.com/30376145/r/il/777735/6132020631/il_794xN.6132020631_2rgz.jpg","https://v.etsystatic.com/video/upload/ac_none,du_15,q_auto:good/creators_content_match-5887c279-b3cc-4b26-9ccf-038dfe215905_9ca98f75-9ab4-4b9d-a7ec-3363f0c11e1e_rnxbsj.mp4", ScarletSkiesDesignCo,https://www.etsy.com/shop/ScarletSkiesDesignCo,86 Sales
https://www.etsy.com/listing/1751059053/personalised-large-initial-phone-case?click_key=72d71a6a87c633b5f934cd5b6cd51fa4cb6c382d%3A1751059053&click_sum=0e8ab0ed&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=phone+cases&ref=search_grid-954096-1-1&pro=1&pop=1&sts=1&content_source=4f3decf3905ac573836300ddd7ff3a03c6881c63%253A1751059053,"Personalised Large Initial Phone Case For iPhone 16 15 14 13 12 11 Pro Max, Samsung Galaxy S23 Ultra Custom Case, iPhone 8 Plus MagSafe Case",4.7837,899 reviews,USD 18.42+, DALIcase,"https://i.etsystatic.com/42559503/r/il/cf86dd/6076048076/il_794xN.6076048076_asdq.jpg,https://i.etsystatic.com/42559503/r/il/84dfcc/6076048050/il_794xN.6076048050_dxjg.jpg,https://i.etsystatic.com/42559503/r/il/94abc9/6076048056/il_794xN.6076048056_25sn.jpg,https://i.etsystatic.com/42559503/r/il/de3ce3/6124110353/il_794xN.6124110353_ew1t.jpg,https://i.etsystatic.com/42559503/r/il/ad8e08/6076048060/il_794xN.6076048060_9fig.jpg,https://i.etsystatic.com/42559503/r/il/15d2b1/6124110351/il_794xN.6124110351_9pwv.jpg,https://i.etsystatic.com/42559503/r/il/39c3bd/6124110397/il_794xN.6124110397_25w3.jpg,https://i.etsystatic.com/42559503/r/il/1856aa/6124110389/il_794xN.6124110389_ozin.jpg,https://i.etsystatic.com/42559503/r/il/a438cd/5861314133/il_794xN.5861314133_riba.jpg,https://i.etsystatic.com/42559503/r/il/4dbb86/5813234294/il_794xN.5813234294_52ch.jpg",, DALIcase,https://www.etsy.com/shop/DALIcase,"4,484 Sales"
